Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Rui Hachimura,LAL,249,6649,302,757,149,153,93,35,21,38,115
Pat Connaughton,MIL,286,6640,427,1037,244,183,135,73,36,66,117
Devin Vassell,SAS,248,6635,630,1539,351,279,214,108,29,90,189
Reggie Bullock Jr.,HOU,255,6633,305,743,172,133,106,46,20,52,81
Caleb Martin,PHI,268,6607,436,1098,210,226,134,58,18,71,155
Max Strus,CLE,257,6605,570,1334,376,194,235,116,25,65,129
Ja Morant,MEM,204,6602,1534,3631,971,563,668,252,51,210,353
Eric Gordon,PHI,237,6580,568,1363,341,227,239,85,17,70,157
Austin Reaves,LAL,226,6531,867,2069,532,335,393,93,46,117,218
Corey Kispert,WAS,250,6487,356,836,232,124,126,66,40,27,97
LaMelo Ball,CHA,202,6484,1489,3465,1002,487,744,201,57,144,343
Kelly Olynyk,TOR,257,6476,914,2148,594,320,443,120,31,100,220
De'Andre Hunter,ATL,214,6450,311,765,168,143,97,47,24,47,96
Alperen Sengun,HOU,234,6449,916,2194,554,362,380,107,67,77,285
Mason Plumlee,PHX,276,6416,765,1844,451,314,287,100,64,98,216
Nic Claxton,BKN,244,6409,404,975,237,167,101,76,60,40,127
Kevon Looney,GSW,320,6394,660,1646,334,326,145,110,79,54,272
Naz Reid,MIN,319,6345,363,898,191,172,113,66,12,60,112
Patrick Williams,CHI,228,6336,315,781,164,151,109,31,24,51,100
Jusuf Nurkic,PHX,237,6314,753,1798,461,292,259,110,92,75,217
Jamal Murray,DEN,189,6311,1121,2604,759,362,431,252,76,94,268
Collin Sexton,UTA,220,6293,880,2125,515,365,326,164,25,98,267
Alex Caruso,OKC,252,6276,798,1855,539,259,358,120,61,78,181
Malcolm Brogdon,WAS,207,6215,1026,2491,587,439,411,118,58,132,307
Josh Richardson,MIA,240,6176,559,1356,321,238,179,110,32,66,172
Daniel Gafford,DAL,301,6139,325,755,220,105,103,70,47,24,81
Jeff Green,HOU,284,6122,344,839,193,151,118,45,30,35,116
KJ Martin,PHI,285,6122,340,862,158,182,106,35,17,46,136
Alec Burks,MIA,259,6087,564,1356,336,228,230,74,32,73,155
Klay Thompson,DAL,198,6055,463,1078,311,152,203,95,13,47,105
Christian Wood,LAL,226,6030,396,954,234,162,176,46,12,51,111
Taurean Prince,MIL,265,6005,390,911,259,131,180,56,23,57,74
De'Anthony Melton,GSW,246,5996,654,1555,407,247,272,101,34,85,162
Seth Curry,CHA,249,5884,536,1286,322,214,184,90,48,70,144
Gordon Hayward,OKC,194,5882,722,1758,408,314,300,86,22,96,218
Keegan Murray,SAC,182,5881,266,650,148,118,83,47,18,46,72
Jae'Sean Tate,HOU,254,5867,554,1417,245,309,189,39,17,66,243
Kawhi Leonard,LAC,172,5850,717,1817,334,383,193,97,44,136,247
Nickeil Alexander-Walker,MIN,275,5830,628,1503,381,247,260,100,21,75,172
Monte Morris,PHX,235,5821,908,2178,546,362,298,179,69,92,270
Justin Holiday,DEN,249,5808,355,833,232,123,159,56,17,38,85
Cedi Osman,SAS,274,5789,543,1301,328,215,236,77,15,74,141
Chris Boucher,TOR,289,5784,155,372,93,62,68,14,11,12,50
T.J. McConnell,IND,266,5746,1471,3542,871,600,669,156,46,204,396
P.J. Tucker,LAC,229,5743,286,735,123,163,89,23,11,40,123
Luke Kennard,MEM,245,5742,518,1268,286,232,184,90,12,79,153
Marcus Morris Sr.,CLE,225,5708,321,795,168,153,108,45,15,65,88
Tre Jones,SAS,259,5679,1224,2967,705,519,452,198,55,141,378
Matisse Thybulle,POR,267,5671,281,678,165,116,102,44,19,32,84
Jabari Smith Jr.,HOU,179,5594,243,574,155,88,114,35,6,22,66
Patrick Beverley,MIL,235,5587,750,1796,454,296,280,94,80,95,201
Gary Harris,ORL,219,5574,339,824,193,146,124,47,22,46,100
Isaiah Hartenstein,OKC,279,5536,541,1280,343,198,226,77,40,65,133
Derrick Jones Jr.,LAC,274,5519,209,527,100,109,57,21,22,33,76
Jarred Vanderbilt,LAL,245,5481,390,974,196,194,137,40,19,58,136
Killian Hayes,DET,210,5478,1090,2635,635,455,409,172,54,158,297
Devonte' Graham,SAS,227,5472,856,2014,554,302,365,145,44,90,212
Torrey Craig,CHI,266,5462,318,765,189,129,97,64,28,49,80
Delon Wright,MIL,255,5451,808,2014,410,398,238,121,51,125,273
Robert Covington,PHI,218,5449,290,722,148,142,107,30,11,30,112
Lonnie Walker IV,BKN,244,5442,391,934,239,152,160,47,32,47,105
Payton Pritchard,BOS,291,5414,673,1672,347,326,235,76,36,102,224
Paolo Banchero,ORL,157,5411,728,1758,426,302,300,85,41,83,219
Trey Murphy III,NOP,210,5400,304,731,181,123,112,46,23,39,84
Onyeka Okongwu,ATL,256,5398,261,643,140,121,75,43,22,34,87
Zion Williamson,NOP,166,5376,743,1917,312,431,174,81,57,140,291
Talen Horton-Tucker,CHI,260,5345,791,1898,475,316,307,124,44,110,206
Jalen Suggs,ORL,201,5329,666,1600,398,268,303,67,28,88,180
Cade Cunningham,DET,159,5316,1089,2569,698,391,510,149,39,129,262
Davion Mitchell,TOR,251,5286,755,1844,421,334,271,123,27,110,224
Precious Achiuwa,NYK,265,5266,263,652,137,126,88,27,22,37,89
Andre Drummond,PHI,284,5259,305,717,198,107,120,51,27,43,64
Jaden Ivey,DET,175,5254,785,1879,476,309,308,139,29,120,189
Jalen Williams,OKC,169,5230,687,1670,391,296,275,86,30,86,210
Joe Ingles,MIN,233,5228,838,1976,538,300,382,121,35,119,181
Doug McDermott,SAC,264,5216,313,740,199,114,106,71,22,46,68
Dwight Powell,DAL,297,5211,326,792,186,140,80,47,59,36,104
Kevin Porter Jr.,LAC,168,5196,942,2272,554,388,413,112,29,73,315
Aaron Nesmith,IND,249,5190,257,610,161,96,103,44,14,29,67
Obi Toppin,IND,307,5176,343,834,195,148,123,58,14,53,95
Patty Mills,UTA,230,5150,448,1034,310,138,181,77,52,35,103
Josh Green,CHA,245,5135,377,941,190,187,139,33,18,73,114
Shake Milton,BKN,262,5115,673,1623,396,277,245,118,33,100,177
Jae Crowder,SAC,200,5113,348,828,216,132,118,66,32,62,70
Mitchell Robinson,NYK,193,5058,126,312,66,60,32,18,16,12,48
Jonathan Kuminga,GSW,232,5042,390,993,177,213,96,60,21,60,153
Drew Eubanks,UTA,298,5023,317,785,166,151,81,46,39,36,115
Will Barton,TOR,183,5005,569,1333,374,195,217,124,33,61,134
Naji Marshall,DAL,250,4966,515,1208,337,178,235,67,35,57,121
Cameron Payne,NYK,261,4932,975,2338,587,388,325,189,73,131,257
Kenrich Williams,OKC,250,4901,469,1136,271,198,174,76,21,55,143
