Name,TeamAbbreviation,GamesPlayed,Minutes,ShotQualityAvg,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShortMidRangePctBlocked,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Corner3PctBlocked,Arc3FGM,Arc3FGA,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,Arc3PctBlocked,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy,HeaveAttempts,HeaveMakes
Bol Bol,PHX,165,2252,0.5291977366255144,0.5967078189300411,6.710546139359698,25.207575757575754,200,237,0.32510288065843623,0.8438818565400844,0.8695652173913043,0.56,0.029535864978902954,113,216,0.2962962962962963,0.5231481481481481,0.5566502463054187,0.672566372,0.060185185,27,78,0.10699588477366255,0.34615384615384615,0.34615384615384615,0.8148148148148148,0,19,67,0.091906722,0.2835820895522388,0.2835820895522388,1,0,44,131,0.17969821673525377,0.33587786259541985,0.34375,0.7727272727272727,0.022900763358778626,44,131,0.33587786259541985,0,0
Jericho Sims,NYK,161,2249,0.650715702,0.8765432098765432,1.9847107438016527,59.3,169,212,0.8724279835390947,0.7971698113207547,0.845,0.6982248520710059,0.056603774,10,29,0.11934156378600823,0.3448275862068966,0.37037037037037035,1,0.068965517,0,1,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004115226,0,0,0,0,0,0,0,1,0
Peyton Watson,DEN,125,2222,0.5665093364197531,0.732824427,4.684965831,25.520833333333332,166,264,0.4030534351145038,0.6287878787878788,0.7124463519313304,0.7891566265060241,0.11742424242424243,62,148,0.22595419847328244,0.4189189189189189,0.484375,0.7096774193548387,0.13513513513513514,12,27,0.041221374,0.4444444444444444,0.4444444444444444,0.6666666666666666,0,35,102,0.15572519083969466,0.3431372549019608,0.3431372549019608,1,0,34,114,0.17404580152671756,0.2982456140350877,0.2982456140350877,0.9705882352941176,0,34,107,0.3177570093457944,7,0
Lou Williams,ATL,122,2222,0.47916149068322983,0.4337474120082816,10.550506512301013,25.07090909090909,78,144,0.14906832298136646,0.5416666666666666,0.609375,0.24358974358974358,0.1111111111111111,124,315,0.32608695652173914,0.39365079365079364,0.4290657439446367,0.3548387096774194,0.082539683,82,232,0.2401656314699793,0.35344827586206895,0.35964912280701755,0.25609756097560976,0.017241379310344827,39,92,0.095238095,0.42391304347826086,0.42391304347826086,0.9487179487179487,0,67,183,0.18944099378881987,0.366120219,0.37222222222222223,0.44776119402985076,0.016393443,67,183,0.366120219,0,0
Tomas Satoransky,WAS,113,2213,0.5160325242718447,0.6192307692307693,6.969340974212034,25.77660819,109,151,0.2903846153846154,0.7218543046357616,0.7569444444444444,0.5412844036697247,0.046357615894039736,51,142,0.27307692307692305,0.3591549295774648,0.4015748031496063,0.17647058823529413,0.1056338028169014,28,56,0.1076923076923077,0.5,0.5185185185185185,0.4642857142857143,0.035714286,19,53,0.10192307692307692,0.3584905660377358,0.3584905660377358,1,0,34,118,0.22692307692307692,0.288135593,0.29310344827586204,1,0.016949153,34,113,0.3008849557522124,5,0
Scoot Henderson,POR,79,2211,0.5305184045881126,0.6357069143446853,7.271141975308642,26.585358255451712,145,295,0.304437564,0.4915254237288136,0.5686274509803921,0.296551724,0.13559322033898305,78,227,0.23426212590299278,0.3436123348017621,0.3842364532019704,0.21794871794871795,0.10572687224669604,52,126,0.13003095975232198,0.4126984126984127,0.4126984126984127,0.2692307692307692,0,15,44,0.045407637,0.3409090909090909,0.3409090909090909,0.7333333333333333,0,89,277,0.28586171310629516,0.3212996389891697,0.3212996389891697,0.6179775280898876,0,88,267,0.3295880149812734,9,1
Kevin Knox II,DET,166,2199,0.5467535570469799,0.8136729222520107,6.123839009287925,25.094799054373517,125,184,0.24664879356568364,0.6793478260869565,0.7668711656441718,0.688,0.11413043478260869,37,89,0.1193029490616622,0.4157303370786517,0.4625,0.7837837837837838,0.10112359550561797,17,50,0.067024129,0.34,0.34,0.7647058823529411,0,65,166,0.2225201072386059,0.39156626506024095,0.4012345679012346,1,0.024096385542168676,81,257,0.3445040214477212,0.3151750972762646,0.3151750972762646,0.9876543209876543,0,81,256,0.31640625,1,0
Ben McLemore,POR,117,2190,0.5394488333333334,0.8783185840707964,9.557004830917876,25.431563845050214,63,97,0.10730088495575221,0.6494845360824743,0.7078651685393258,0.873015873,0.082474227,7,28,0.030973451327433628,0.25,0.3684210526315789,0.42857142857142855,0.32142857142857145,33,82,0.090707965,0.4024390243902439,0.4177215189873418,0.8484848484848485,0.036585365853658534,105,211,0.2334070796460177,0.4976303317535545,0.5072463768115942,0.9904761904761905,0.018957345971563982,143,486,0.5376106194690266,0.294238683,0.3023255813953488,0.9440559440559441,0.026748971193415638,143,482,0.2966804979253112,4,0
Elfrid Payton,NOP,120,2177,0.5037938836104513,0.5527876631079478,5.602892561983471,25.014529914529913,185,349,0.4139976275207592,0.5300859598853869,0.6292517006802721,0.2972972972972973,0.15759312320916904,125,326,0.3867141162514828,0.3834355828220859,0.45787545787545786,0.208,0.16257668711656442,17,51,0.060498220640569395,0.3333333333333333,0.34,0.29411764705882354,0.019607843,13,49,0.058125741,0.2653061224489796,0.2708333333333333,1,0.020408163,19,68,0.080664294,0.27941176470588236,0.27941176470588236,0.8947368421052632,0,19,68,0.27941176470588236,0,0
Enes Freedom,BOS,107,2169,0.5717457382039574,0.790273556,2.6240369799691834,29,333,511,0.776595745,0.6516634050880626,0.7350993377483444,0.44144144144144143,0.11350293542074363,51,129,0.196048632,0.3953488372093023,0.49514563106796117,0.47058823529411764,0.20155038759689922,3,9,0.013677811550151976,0.3333333333333333,0.3333333333333333,1,0,1,1,0.001519757,1,1,1,0,2,8,0.012158055,0.25,0.25,1,0,2,7,0.2857142857142857,1,0
