Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Lou Williams,ATL,122,2222,4548,1103,284,691,0.4109985528219971,106,275,0.38545454545454544,0.38545454545454544,217,168,400,201,117,0.29577464788732394,0.3010752688172043,0.6320754716981132,0.28467908902691513,0.47916149068322983,0.458592133,0.5116171003717472,10,46,0.066570188,3,0.010909091,24.162396531336224
Tomas Satoransky,WAS,113,2213,4445,645,188,349,0.5386819484240688,53,171,0.30994152046783624,0.3192771084337349,110,162,214,159,0,0.4308510638297872,0.44505494505494503,1,0.32884615384615384,0.5160325242718447,0.5144230769230769,0.5608695652173913,12,24,0.068767908,2,0.011695906432748537,14.368737474949901
Scoot Henderson,POR,79,2211,4510,1068,275,648,0.4243827160493827,104,321,0.32398753894080995,0.3301282051282051,206,148,402,198,114,0.2690909090909091,0.2781954887218045,0.6346153846153846,0.33126934984520123,0.5305184045881126,0.44478844169246645,0.49171270718232046,18,64,0.098765432,0,0,25.71537581075925
Kevin Knox II,DET,166,2199,4583,894,179,323,0.5541795665634675,146,423,0.34515366430260047,0.3459715639810427,98,256,102,435,3,0.7150837988826816,0.7710843373493976,0.9931506849315068,0.5670241286863271,0.5467535570469799,0.5335120643431636,0.5575,26,30,0.092879257,4,0.009456265,17.24137931034483
Ben McLemore,POR,117,2190,4541,1061,103,207,0.4975845410628019,248,697,0.35581061692969873,0.3578643578643579,111,172,34,717,27,0.8349514563106796,0.8686868686868687,0.9637096774193549,0.7710176991150443,0.5394488333333334,0.5254424778761062,0.5522466039707419,8,20,0.096618357,17,0.024390243902439025,20.626836434867776
Elfrid Payton,NOP,120,2177,4376,836,327,726,0.45041322314049587,32,117,0.27350427350427353,0.27350427350427353,86,172,482,90,6,0.26299694189602446,0.28104575163398693,0.9375,0.1387900355871886,0.5037938836104513,0.44483985765124556,0.4629014396456257,42,109,0.15013774104683195,1,0.008547009,21.404348693397168
Enes Freedom,BOS,107,2169,4368,934,387,649,0.5963020030816641,3,9,0.3333333333333333,0.375,151,348,426,9,0,0.4496124031007752,0.6877470355731226,1,0.013677811550151976,0.5717457382039574,0.5949848024316109,0.6302294197031039,268,84,0.12942989214175654,0,0,16.531700572782935
Jordan Goodwin,MEM,121,2167,4402,775,219,478,0.4581589958158996,80,260,0.3076923076923077,0.3088803088803089,97,116,322,207,33,0.2648401826484018,0.3118279569892473,0.8625,0.3523035230352303,0.5105980298913044,0.45934959349593496,0.4880352644836272,66,52,0.1087866108786611,3,0.011538461538461539,17.843793035608893
Dwight Howard,LAL,129,2166,4387,854,299,487,0.6139630390143738,13,35,0.37142857142857144,0.38235294117647056,217,374,224,33,6,0.6254180602006689,0.9257425742574258,0.8461538461538461,0.067049808,0.583558349,0.6101532567049809,0.6242690058479532,194,47,0.09650924,0,0,16.67658139996034
Willy Hernangomez,NOP,133,2143,4478,1080,402,731,0.5499316005471956,8,33,0.24242424242424243,0.25,252,550,254,24,0,0.6840796019900498,0.8620689655172413,1,0.043193717,0.5504998689384011,0.5418848167539267,0.5890710382513661,166,71,0.097127223,0,0,20.085057026870288
Josh Christopher,HOU,138,2120,4381,959,300,551,0.5444646098003629,77,278,0.27697841726618705,0.28413284132841327,128,234,366,177,54,0.39,0.4090909090909091,0.7662337662337663,0.3353437876960193,0.5197979293544458,0.5012062726176115,0.5292817679558011,28,52,0.094373866,2,0.007194245,21.421481040301767
Markieff Morris,DAL,142,2088,4305,739,157,320,0.490625,122,364,0.33516483516483514,0.3370165745856354,59,174,140,360,6,0.554140127,0.6170212765957447,0.9836065573770492,0.5321637426900585,0.5106284140969163,0.49707602339181284,0.5168067226890757,32,10,0.03125,0,0,17.041666666666668
Justise Winslow,POR,103,2058,4245,648,226,500,0.452,39,165,0.23636363636363636,0.2392638036809816,79,274,178,117,0,0.6061946902654868,0.6919191919191919,1,0.24812030075187969,0.5216911764705883,0.42781954887218043,0.4462809917355372,56,41,0.082,1,0.006060606,17.712865133623367
Andre Iguodala,GSW,102,2054,4084,416,70,119,0.5882352941176471,78,265,0.2943396226415094,0.3035019455252918,42,100,40,219,15,0.7142857142857143,0.7692307692307693,0.9358974358974359,0.6901041666666666,0.5464558823529412,0.4869791666666667,0.5036319612590799,10,4,0.033613445,0,0,11.37315406656381
Isaiah Livers,DET,94,2051,4174,581,78,150,0.52,123,344,0.35755813953488375,0.36070381231671556,56,110,46,351,18,0.7051282051282052,0.7432432432432432,0.9512195121951219,0.6963562753036437,0.529330306,0.5313765182186235,0.5525812619502868,8,12,0.08,6,0.01744186,12.344113295286409
John Wall,LAC,74,2043,4244,1209,319,706,0.4518413597733711,112,358,0.3128491620111732,0.3146067415730337,235,66,572,261,75,0.10344827586206896,0.10610932475884244,0.7767857142857143,0.33646616541353386,0.5074410461828464,0.45770676691729323,0.5008298755186722,16,68,0.09631728,4,0.011173184,30.190677966101692
Amen Thompson,HOU,86,2034,4212,878,328,552,0.5942028985507246,17,88,0.19318181818181818,0.19540229885057472,171,316,340,48,3,0.4817073170731707,0.5808823529411765,0.9411764705882353,0.1375,0.5712166666666667,0.55234375,0.5884718498659517,112,51,0.092391304,0,0,17.831031681559708
JT Thor,CLE,168,2027,4161,547,129,249,0.5180722891566265,77,234,0.32905982905982906,0.32905982905982906,58,182,76,228,3,0.7054263565891473,0.8125,0.987012987,0.48447205,0.5485838174273858,0.5062111801242236,0.5229445506692161,34,29,0.11646586345381527,1,0.004273504,12.619706320493721
Jaden Hardy,DAL,143,2018,4233,1094,231,506,0.45652173913043476,162,439,0.3690205011389522,0.37354988399071926,146,184,278,411,75,0.39826839826839827,0.4088888888888889,0.845679012,0.46455026455026455,0.5354041622198505,0.5015873015873016,0.5326829268292683,12,64,0.12648221343873517,3,0.006833713,24.603342500528875
Serge Ibaka,MIL,111,2018,4087,885,278,483,0.5755693581780539,82,232,0.35344827586206895,0.35344827586206895,83,376,180,246,0,0.6762589928057554,0.8506787330316742,1,0.32447552447552447,0.5101864335664336,0.5608391608391609,0.5822368421052632,114,27,0.055900621118012424,0,0,18.898678414096917
D.J. Augustin,LAL,112,2012,4153,732,78,184,0.42391304347826086,151,381,0.3963254593175853,0.3963254593175853,123,38,118,345,108,0.24358974358974358,0.25,0.7615894039735099,0.6743362831858407,0.5274399822695036,0.5389380530973451,0.5815831987075929,4,31,0.16847826086956522,6,0.015748031496062992,15.821023335474202
Avery Bradley,LAL,89,2008,4139,567,97,210,0.46190476190476193,115,311,0.36977491961414793,0.3709677419354839,28,128,66,324,21,0.6597938144329897,0.7441860465116279,0.9391304347826087,0.5969289827255279,0.5367545192307692,0.517274472,0.5280373831775701,22,25,0.11904761904761904,3,0.009646302,13.087979094076655
DeAndre' Bembry,MIL,107,1998,4073,577,212,360,0.5888888888888889,29,89,0.3258426966292135,0.3258426966292135,66,278,146,84,3,0.6556603773584906,0.7128205128205128,0.9655172413793104,0.19821826280623608,0.5633928571428571,0.5690423162583519,0.5840080971659919,34,43,0.11944444444444445,0,0,13.047285464098074
Brandon Boston Jr.,NOP,127,1961,4025,920,252,554,0.4548736462093863,89,281,0.3167259786476868,0.32014388489208634,149,282,222,189,78,0.5595238095238095,0.5755102040816327,0.7078651685393258,0.33652694610778444,0.516482392,0.4616766467065868,0.49891186071817195,14,60,0.10830324909747292,3,0.010676156583629894,22.04894953432965
Juancho Hernangomez,TOR,134,1958,3994,628,126,215,0.586046512,96,304,0.3157894736842105,0.31683168316831684,88,186,66,285,3,0.7380952380952381,0.8691588785046729,0.9895833333333334,0.5857418111753372,0.5667370656370656,0.5202312138728323,0.5385934819897084,38,27,0.12558139534883722,3,0.009868421,13.992578039729317
Saben Lee,PHX,134,1943,3953,697,202,434,0.46543778801843316,35,129,0.2713178294573643,0.2734375,188,152,252,90,15,0.37623762376237624,0.3838383838383838,0.8571428571428571,0.2291296625222025,0.5371065953654189,0.45204262877442275,0.5109970674486803,8,65,0.1497695852534562,2,0.015503875968992248,18.008948545861298
Day'Ron Sharpe,BKN,144,1908,3889,855,338,590,0.5728813559322034,13,35,0.37142857142857144,0.37142857142857144,140,414,262,36,3,0.6124260355029586,0.9078947368421053,0.9230769230769231,0.056,0.59753088,0.572,0.5912863070539419,220,60,0.1016949152542373,0,0,18.91004596191727
Frank Jackson,UTA,94,1907,3892,950,181,349,0.5186246418338109,147,430,0.34186046511627904,0.34186046511627904,147,226,136,423,18,0.6243093922651933,0.6384180790960452,0.9591836734693877,0.55198973,0.5123437098844673,0.5154043645699615,0.555359246,8,33,0.094555874,8,0.018604651162790697,21.046617915904935
