Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfOReb,SelfORebPct
Willy Hernangomez,NOP,133,2143,852,534,43,0.344,245,0.2538860103626943,246,0.24308300395256918,0.24835609509357612,318,15,0.09202454,224,0.18181818181818182,79,0.09132948,0.14449213161659513,0.24128686327077747,0.26277372262773724,0.2596685082872928,0.2349869451697128,0.2682926829268293,0.21454545454545454,0.18518518518518517,0.094170404,0.08044164,0.12121212121212122,61,0.21942446043165467
Josh Christopher,HOU,138,2120,257,185,7,0.05785124,71,0.076508621,107,0.11076604554865424,0.093980993,72,2,0.012820513,24,0.022160665,46,0.048218029,0.034364261,0.054441260744985676,0.08353222,0.10625,0.10987482614742698,0.11336032388663968,0.021317829,0.022222222222222223,0.025641026,0.046153846153846156,0.057471264,10,0.026385224274406333
Markieff Morris,DAL,142,2088,426,344,29,0.25217391304347825,162,0.15154349859681945,153,0.16071428571428573,0.15586343394359228,82,14,0.1308411214953271,35,0.033492823,33,0.036954087346024636,0.035087719,0.13216957605985039,0.15203426124197003,0.1890547263681592,0.16872427983539096,0.13452914798206278,0.037333333333333336,0.041860465,0.0125,0.035060976,0.042194093,8,0.020779221
Justise Winslow,POR,103,2058,465,348,21,0.21649484536082475,157,0.1472795497185741,170,0.17970401691331925,0.1625248508946322,117,2,0.015151515151515152,80,0.070484581,35,0.039954338,0.05718548,0.13432835820895522,0.14928909952606634,0.17714285714285713,0.16620111731843576,0.2217391304347826,0.10049019607843138,0.061538462,0.033816425120772944,0.035982008995502246,0.052631579,24,0.069565217
Andre Iguodala,GSW,102,2054,338,276,17,0.1619047619047619,131,0.13645833333333332,128,0.1248780487804878,0.1304785894206549,62,0,0,29,0.035846724,33,0.032258065,0.033842795,0.16766467065868262,0.12280701754385964,0.11176470588235295,0.125,0.12452830188679245,0.04778157,0.014577259475218658,0.057803468208092484,0.029639175257731958,0.04048583,11,0.051643192488262914
Isaiah Livers,DET,94,2051,248,190,25,0.20161290322580644,71,0.069471624,94,0.11244019138755981,0.088805167,58,3,0.021126761,21,0.019848771,34,0.03908046,0.028526970954356846,0.053221289,0.075510204,0.085714286,0.11007751937984496,0.12041884816753927,0.026946108,0.016260162601626018,0.017241379310344827,0.038461538461538464,0.040650407,7,0.026415094339622643
John Wall,LAC,74,2043,221,190,1,0.009174312,98,0.088768116,91,0.10213243546576879,0.094736842,31,0,0,20,0.020408163,11,0.010784313725490196,0.0155,0.075376884,0.084016393,0.12385321100917432,0.094170404,0.12612612612612611,0.019512195,0.027607361963190184,0.012295081967213115,0.013513513513513514,0.003571429,11,0.019855595667870037
Amen Thompson,HOU,86,2034,577,375,44,0.4036697247706422,164,0.15213358070500926,167,0.18191721132897604,0.1658316633266533,202,4,0.034188034,128,0.11198600174978128,70,0.072992701,0.094196004,0.13297872340425532,0.15157116451016636,0.19875776397515527,0.17069701280227595,0.2186046511627907,0.1352549889135255,0.10438413361169102,0.079812207,0.074550129,0.066298343,28,0.11814345991561181
JT Thor,CLE,168,2027,343,253,23,0.20909090909090908,109,0.1088911088911089,121,0.12913553895410887,0.11867905056759546,90,3,0.027777777777777776,45,0.041398344,42,0.048498845,0.044546851,0.098173516,0.11083123425692695,0.13253012048192772,0.1287988422575977,0.13008130081300814,0.058823529411764705,0.033826638,0.024271844660194174,0.052713178,0.036199095,15,0.06147541
Jaden Hardy,DAL,143,2018,250,215,8,0.062992126,110,0.10967098703888335,97,0.10753880266075388,0.10866141732283464,35,0,0,15,0.015197568389057751,20,0.020833333333333332,0.017976373908577297,0.1,0.098712446,0.15819209039548024,0.11275964391691394,0.092105263,0.021917808219178082,0.013574660633484163,0.005555556,0.027104137,0.003861004,7,0.014767932489451477
Serge Ibaka,MIL,111,2018,569,419,14,0.18421052631578946,232,0.21561338289962825,173,0.19548022598870057,0.2065272819989801,150,2,0.02739726,100,0.102880658,48,0.052344602,0.078348332,0.21348314606741572,0.22153209109730848,0.20675105485232068,0.20028612303290416,0.1774193548387097,0.11851851851851852,0.10602409638554217,0.083623693,0.046544429,0.072115385,12,0.036697248
