Name,TeamAbbreviation,GamesPlayed,Minutes,SecondChanceOffPoss,SecondChancePoints,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFg2Pct,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceFtPoints,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers
Dalano Banton,POR,171,2399,702,140,0.1237842617152962,51,98,0.5204081632653061,10,38,0.2631578947368421,8,0.4852941176470588,0.48951048951048953,0.5693029411764706,42,72,0.5294117647058824,0.5833333333333334,0.16666666666666666,2,7,0.051470588235294115,0.2857142857142857,1,8,31,0.22794117647058823,0.25806451612903225,0.875,17
Josh Jackson,SAC,113,2390,546,135,0.11678200692041522,43,67,0.6417910447761194,11,39,0.28205128205128205,16,0.5613207547169812,0.5869565217391305,0.5386176470588235,33,45,0.42452830188679247,0.7333333333333333,0.18181818181818182,3,14,0.1320754716981132,0.21428571428571427,1,8,25,0.2358490566037736,0.32,1,12
Victor Oladipo,MIA,83,2359,466,78,0.065,18,32,0.5625,9,30,0.3,15,0.5080645161290323,0.5492957746478874,0.5128347222222223,9,15,0.24193548387096775,0.6,0.3333333333333333,3,15,0.24193548387096775,0.2,0.6666666666666666,6,15,0.24193548387096775,0.4,0.8333333333333334,11
Thomas Bryant,MIA,144,2348,453,222,0.18797629127857748,82,134,0.6119402985074627,4,9,0.4444444444444444,46,0.6153846153846154,0.6607142857142857,0.5630288793103448,74,114,0.7972027972027972,0.6491228070175439,0.10810810810810811,0,0,0,0,0,4,9,0.062937063,0.4444444444444444,1,4
Alex Len,SAC,195,2334,515,191,0.2255017709563164,82,128,0.640625,1,1,1,24,0.6472868217054264,0.6586206896551724,0.6069716981132075,75,105,0.813953488,0.7142857142857143,0.17333333333333334,1,1,0.007751938,1,1,0,0,0,0,0,21
Robin Lopez,MIL,160,2329,545,206,0.20077972709551656,86,153,0.5620915032679739,0,6,0,34,0.5408805031446541,0.569060773,0.5775481617647058,65,110,0.6918238993710691,0.5909090909090909,0.092307692,0,4,0.025157232704402517,0,0,0,2,0.012578616352201259,0,0,15
Otto Porter Jr.,TOR,114,2329,535,138,0.15880322209436135,41,65,0.6307692307692307,14,34,0.4117647058823529,14,0.6262626262626263,0.6509433962264151,0.550702344,32,49,0.494949495,0.6530612244897959,0.0625,3,8,0.080808081,0.375,1,11,26,0.26262626262626265,0.4230769230769231,0.9090909090909091,3
Damian Jones,CLE,175,2309,479,177,0.19977426636568849,69,98,0.7040816326530612,1,2,0.5,36,0.705,0.7254098360655737,0.6055335526315789,63,84,0.84,0.75,0.19047619047619047,0,0,0,0,0,1,2,0.02,0.5,1,16
Nerlens Noel,BKN,106,2303,452,125,0.28153153153153154,48,82,0.5853658536585366,0,0,0,29,0.5853658536585366,0.6313131313131313,0.6398771428571429,39,67,0.8170731707317073,0.582089552,0.10256410256410256,0,0,0,0,0,0,0,0,0,0,16
Cason Wallace,OKC,105,2297,462,79,0.11002785515320335,12,26,0.46153846153846156,16,40,0.4,7,0.5454545454545454,0.5642857142857143,0.5772013157894736,11,17,0.25757575757575757,0.6470588235294118,0.36363636363636365,5,14,0.21212121212121213,0.35714285714285715,1,11,26,0.3939393939393939,0.4230769230769231,0.8181818181818182,3
