Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
OG Anunoby,NYK,231,8089,537,7,247,56,4,0,39,0.078566939,0.1348989623156745,0.002220577
Dillon Brooks,HOU,268,8066,637,24,284,64,13,3,36,0.077387198,0.12126387702818105,0.007482993
Kyrie Irving,DAL,223,8020,908,73,346,104,28,8,94,0.079530917,0.11579651941097724,0.015863689776733254
Grayson Allen,PHX,282,8002,484,37,174,35,11,0,49,0.073296355,0.18831168831168832,0.006875
Anthony Davis,LAL,231,7984,1621,60,675,176,4,0,186,0.1512042818911686,0.16544117647058823,0.007425743
Kelly Oubre Jr.,PHI,269,7981,854,9,415,117,21,7,42,0.11156601842374617,0.18082788671023964,0.013019218846869188
Jordan Clarkson,UTA,276,7967,810,38,262,76,73,13,71,0.074781046,0.11144193960017014,0.033777355
Caris LeVert,CLE,266,7926,800,6,363,70,14,6,51,0.1022016852405545,0.14913722267871815,0.010441767068273093
Lauri Markkanen,UTA,251,7859,1020,35,387,93,28,5,123,0.10883818515604511,0.1894273127753304,0.015819209039548022
Karl-Anthony Towns,NYK,236,7856,1324,38,611,177,11,3,107,0.14580403187998126,0.2052401746724891,0.008533747
Scottie Barnes,TOR,224,7831,779,15,359,95,2,0,64,0.10696296296296297,0.13893188854489164,0.002528445
Terance Mann,LAC,327,7808,495,1,231,52,2,0,38,0.098478445,0.14294554455445543,0.002666667
Norman Powell,LAC,268,7807,1028,13,414,79,35,6,88,0.12237093690248566,0.19246861924686193,0.022516556291390728
Jakob Poeltl,TOR,282,7793,705,0,322,98,0,0,76,0.12490302560124127,0.1250485436893204,0
Bobby Portis,MIL,312,7751,461,0,197,51,2,0,54,0.055385472,0.078174603,0.001863933
Brook Lopez,MIL,263,7739,523,0,267,85,4,2,33,0.095948827,0.16760828625235405,0.002457002
Bojan Bogdanovic,NYK,257,7718,977,52,331,66,20,6,141,0.094993234,0.16029055690072638,0.012269938650306749
Paul George,PHI,227,7706,998,68,390,85,22,4,90,0.095392452,0.15372487189594009,0.012345679012345678
Draymond Green,GSW,258,7697,410,0,175,48,1,0,52,0.10051399200456881,0.14193025141930252,0.001930502
Miles Bridges,CHA,226,7681,690,11,343,97,2,0,40,0.1002906976744186,0.15850277264325324,0.001567398
Grant Williams,CHA,311,7666,445,3,173,46,3,2,62,0.087064677,0.1876355748373102,0.001838235
Donte DiVincenzo,MIN,284,7653,355,9,99,17,17,2,59,0.041816871,0.103125,0.009371555
Joel Embiid,PHI,229,7634,2612,63,1164,241,7,0,221,0.21573323507737657,0.25010743446497635,0.009043928
Desmond Bane,MEM,261,7550,608,79,213,66,7,1,83,0.059527045392769776,0.10560237977193852,0.003610108
Bradley Beal,PHX,218,7527,1064,64,456,118,22,7,79,0.1101087207957437,0.14308126764982743,0.017605633802816902
Kyle Lowry,PHI,240,7492,563,17,183,40,23,8,84,0.088783023,0.18846549948506694,0.016442451420029897
Reggie Jackson,PHI,302,7473,421,11,154,38,7,3,63,0.047888161808447356,0.078291815,0.005017921
Immanuel Quickley,TOR,294,7442,877,53,334,82,37,8,74,0.10731848423488574,0.1829134720700986,0.022685469037400367
Kyle Anderson,GSW,308,7432,582,1,263,59,8,1,47,0.11424957841483979,0.14554510237963475,0.014159292
Spencer Dinwiddie,DAL,247,7392,848,9,381,85,23,3,50,0.14003466204506065,0.23962264150943396,0.017760618
Tyus Jones,PHX,312,7386,269,19,87,19,7,2,40,0.035227272727272725,0.054958938723941884,0.005676443
Duncan Robinson,MIA,282,7379,276,18,47,12,44,13,36,0.034351145,0.0856102,0.020762916465475616
Bruce Brown,TOR,284,7370,540,2,272,77,1,1,35,0.11156518185533307,0.14498933901918976,0.001751313
Myles Turner,IND,251,7326,907,0,449,114,1,0,61,0.14653207424291761,0.22551481667503767,0.000925926
Michael Porter Jr.,DEN,235,7325,425,5,184,55,21,5,29,0.062157221206581355,0.10855457227138643,0.012602394
Bogdan Bogdanovic,ATL,250,7317,417,25,142,22,21,2,35,0.048927816,0.099162011,0.010643959552953698
Evan Mobley,CLE,222,7314,825,1,414,102,0,0,48,0.140625,0.15705614567526555,0
Anfernee Simons,POR,250,7174,588,58,210,46,23,4,49,0.065320998,0.12338425381903642,0.012332439678284183
Ayo Dosunmu,CHI,258,7167,315,3,146,36,3,1,23,0.068379991,0.10369318181818182,0.003891051
Malik Monk,SAC,285,7120,651,52,256,62,5,0,69,0.07823741,0.14678899082568808,0.003140704
Nicolas Batum,LAC,289,6985,173,0,57,12,19,5,13,0.048192771,0.12527472527472527,0.016934046
Al Horford,BOS,243,6960,174,1,76,28,1,0,23,0.038308457711442784,0.083516484,0.000909091
Cole Anthony,ORL,276,6952,804,45,308,69,14,2,89,0.10037641154328733,0.14758025874460948,0.010899182561307902
Jaren Jackson Jr.,MEM,241,6941,1233,3,571,135,17,2,87,0.14879594423320658,0.21132494448556624,0.012872083668543845
Herbert Jones,NOP,227,6826,497,8,222,45,0,0,46,0.11696522655426765,0.17549407114624507,0
Kristaps Porzingis,BOS,221,6760,1171,42,495,114,3,1,127,0.1354364971444112,0.19951632406287786,0.002508361
Marcus Smart,MEM,215,6759,550,1,184,40,22,3,80,0.087585034,0.1616871704745167,0.018121911037891267
Josh Giddey,CHI,235,6758,406,4,204,64,0,0,30,0.067371202,0.090787717,0
Georges Niang,CLE,333,6749,200,7,82,22,4,1,18,0.036783575705731396,0.10761154855643044,0.002538071
