player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
Wenyen Gabriel,81,205,SEC,3.9,9,2.2,4.6,1.6,4.4,1.8,2.9,10,1.2,1.1,1.9,1.8,5.3,11.1,0.426,0.483,0.367,0.622,0.534,0.516,0.132,1.6,3.8,5.3,14.3,9.4,17.7,13.7,5,1.5,5.2,15,14.6
Ish Wainright,77,250,Big 12,2.8,6.8,1.9,3.9,1,2.9,1.4,2.2,6.9,4.2,1.8,0.5,2.3,4.3,8.1,0.418,0.481,0.331,0.659,0.515,0.488,0.112,1.4,4.2,5.6,12.9,7.4,13,10.3,18.1,2.7,1.3,22.7,12.8
Chris Boucher,81,200,Big 10,7,13.2,5.3,8.1,1.8,5.1,3.5,5.5,10.9,0.7,1,4.4,1.8,4.3,19.3,0.532,0.65,0.344,0.641,0.611,0.598,0.22,5.3,4,9.4,26.8,11,20.3,15.8,3.2,1.4,11.8,10,21.9
PJ Dozier,78,205,SEC,6.7,16.9,5.5,12.4,1.2,4.5,2.7,4.7,6.5,4.1,2.2,0.5,4,4.4,17.4,0.398,0.442,0.277,0.579,0.455,0.435,0.095,-0.2,3.5,3.3,14,4.3,14.2,9.1,22.3,3.2,1.6,17.3,27.7
Dorian Finney-Smith,79,220,Multiple,5,12.2,3.1,6.9,1.9,5.3,3,4.5,9.9,2.7,1.1,1,2.5,3.3,14.9,0.411,0.449,0.362,0.657,0.52,0.49,0.152,4,2.8,6.8,18.7,10.5,18.7,14.5,14,1.7,2.6,14.9,21.9
Damion Lee,78,210,Multiple,6.2,14.3,3.7,7.4,2.5,6.9,4.7,5.6,5.8,2.4,1.4,0.3,2.1,2.9,19.6,0.433,0.5,0.362,0.843,0.578,0.521,0.196,5.4,1.9,7.4,22.7,3.3,15.2,9.1,14.6,2.2,0.7,11.1,26
Anthony Gill,80,230,Multiple,6.2,11.1,6,10.8,0.2,0.4,4.6,6.7,8.7,1.3,0.9,0.8,2,3.7,17.1,0.556,0.561,0.419,0.68,0.597,0.563,0.203,4.2,2.4,6.6,23.3,11,16.8,13.9,7.2,1.6,2.4,12.4,23
Fred VanVleet,73,197,ACC,4.9,11.5,3.4,7.6,1.5,3.9,3.9,4.9,4.9,6.7,2.4,0.1,2.2,2.3,15.2,0.426,0.447,0.386,0.805,0.551,0.491,0.221,4.9,4.6,9.5,22.8,2.8,12,7.3,34.4,3.7,0.4,13.7,21.1
Alex Caruso,77,186,SEC,3.9,8.5,3,5.8,0.9,2.7,2.4,3.5,5.2,6.6,2.8,0.6,3.5,3.5,11.1,0.455,0.509,0.34,0.685,0.543,0.509,0.134,1.4,5.2,6.6,17.2,3.1,12.3,7.7,32.9,4.3,1.8,25.7,18.1
Danuel House Jr.,78,220,Multiple,6.1,14.7,3.8,8,2.3,6.7,4.3,6.2,6.2,2.7,0.9,0.6,2.5,2.5,18.8,0.416,0.481,0.338,0.699,0.533,0.493,0.133,4,0.4,4.3,18,4.8,12.9,8.9,13.5,1.4,1.7,12.6,25.4
